#  HZ   S   RI   R     50.00 
! Rohde & Schwarz Vector Network Analyzer 
! Rohde-Schwarz,ZNLE18-2Port,1323001270101281,1.61.1.0-22.05.1.79
! Created: UTC 6/27/2023, 12:01:30 PM
! freq[Hz]                re:S11                  im:S11                  re:S21                  im:S21                  re:S12                  im:S12                  re:S22                  im:S22
 1.000000000000000E9    -4.629086358227982E-1   -8.407147190052326E-1   -1.000926644218336E-5   -8.657677399071032E-6   -1.998252413990728E-5   -3.895665421112568E-6    1.000395096735640      -5.451386826451386E-2
 1.121212121212121E9    -8.850534037228774E-1   -3.628429755673590E-1   -1.491476849576856E-6   -6.473607356970136E-6    8.827188411207177E-6    1.088460890711333E-5    9.998702930041988E-1   -6.379213245193571E-2
 1.242424242424242E9    -8.907608719159421E-1    3.378689257983164E-1    1.218482747493368E-6   -2.179858631287318E-6   -1.240404006745296E-5    3.969167647389490E-6    9.998459259513750E-1   -6.752457510185990E-2
 1.363636363636364E9    -3.682145236744323E-1    8.731125016351848E-1    3.846804150719984E-6   -8.209441393712293E-6    8.985008976135722E-6   -2.350085247386093E-6    9.994190201045217E-1   -7.815262415119449E-2
 1.484848484848485E9     3.891410159986494E-1    8.569602660529682E-1    2.057816132005426E-6    7.688158053784585E-6   -8.532237428663431E-6    5.057537767676370E-6    9.978732502314998E-1   -8.473051023879066E-2
 1.606060606060606E9     8.778775122011105E-1    3.226156586649460E-1   -3.375966596063174E-6   -4.069952879173968E-6   -6.415107183026303E-6   -5.346041103744981E-6    9.977737289846853E-1   -9.060531156835282E-2
 1.727272727272727E9     8.623033361687746E-1   -3.468979483288664E-1   -7.968814614808659E-6   -9.859860439364205E-6   -7.928287187341880E-6   -2.903192016128528E-5    9.965474070216331E-1   -9.811489156658355E-2
 1.848484848484848E9     4.501247591191158E-1   -8.081157168601962E-1   -5.934718296049752E-8    7.987775210081259E-6    1.329977989215444E-5    8.922581627397676E-6    9.978661690336957E-1   -1.016716133641082E-1
 1.969696969696970E9    -1.245634072087296E-1   -9.124548075543584E-1    7.352871549811970E-6   -2.974546266575907E-6   -1.469589553283941E-5    9.095706809372109E-6    9.986770308421619E-1   -1.080642188532502E-1
 2.090909090909091E9    -6.391061754024666E-1   -6.453951789245296E-1   -1.176974521015640E-5    7.945121076399990E-6    1.221485573775880E-5    2.599149398404300E-6    9.975263610726809E-1   -1.174199285900094E-1
 2.212121212121212E9    -8.626975588749448E-1   -6.372372825999226E-2    1.657611378317820E-5    4.578051084084669E-5    1.676248549384371E-5    5.029694511363800E-5    9.990917028053462E-1   -1.204736981677167E-1
 2.333333333333333E9    -2.709983423628693E-1    3.227642845780101E-1    8.871204936653531E-6   -1.724539991190607E-5   -5.944093660782026E-6   -3.556887530989772E-5    9.968632452861894E-1   -1.298652414787092E-1
 2.454545454545455E9    -6.712655618934910E-1    3.400971028223367E-1   -4.611865241194059E-5   -2.109881689667076E-5   -5.532224362719688E-5   -1.235138055933996E-5    9.970487864474956E-1   -1.362086078958361E-1
 2.575757575757576E9    -1.782245111228804E-1    8.288216877915380E-1   -2.867319315232200E-5    4.211178581113347E-6   -1.731928899705571E-5    8.384301548884358E-6    9.946898519856125E-1   -1.433259122843820E-1
 2.696969696969697E9     5.026051462626248E-1    6.901586006310803E-1   -1.356868778473938E-5    2.094222225603247E-5   -2.609642929927160E-5    3.920443253428705E-5    9.907409464483651E-1   -1.495660874670446E-1
 2.818181818181818E9     8.421820789506503E-1    4.382043605680705E-2    2.525635943790301E-5    4.974048553258550E-5    1.660777198011539E-5    5.786679538118411E-5    9.933060352423899E-1   -1.503637766930073E-1
 2.939393939393939E9     5.345485098664116E-1   -6.382885002933973E-1    5.759135765898707E-5    1.411137843680334E-5    5.135327253271956E-5    4.233166808950374E-6    9.901457418144132E-1   -1.598825054166480E-1
 3.060606060606061E9    -1.734370603067772E-1   -8.093288761110813E-1    1.896481832419047E-5   -4.067866897561315E-5    3.844247633199934E-5   -4.719169745753843E-5    9.920139152350193E-1   -1.640343664354456E-1
 3.181818181818182E9    -7.200312218310685E-1   -3.902051256616234E-1   -3.372121616002036E-5   -5.566282049055767E-5   -2.885764799933914E-5   -5.840294264449359E-5    9.938748738904492E-1   -1.686964110676807E-1
 3.303030303030303E9    -6.725662266426045E-1    3.008033175647650E-1   -9.306682154197024E-5   -1.988693382623953E-5   -9.816857883278213E-5   -1.470810166543969E-5    9.900966270535786E-1   -1.804932992875023E-1
 3.424242424242424E9    -1.756703317956626E-1   -3.034323216358821E-2   -4.954073847686317E-6    6.679825731026343E-5    8.709028554334979E-6    7.144998368562063E-5    9.953136243876626E-1   -1.847735877987908E-1
 3.545454545454545E9    -5.963783531831657E-1    4.907690615053169E-1    8.370717426866019E-6    5.077192413733840E-5    1.967254305542231E-5    3.621833413737040E-5    9.845980411825045E-1   -1.968669438561076E-1
 3.666666666666667E9    -1.222305591511074E-1    8.306668781260887E-1    5.945856687260405E-5    2.363121533610198E-5    5.248018912488973E-5    4.564165608760446E-5    9.833319085956389E-1   -1.977443886012354E-1
 3.787878787878788E9     4.092736116239318E-1    7.359373477437210E-1   -8.466626601514715E-7   -3.620367906220210E-5    2.479883458096457E-6   -6.474213748165399E-5    9.825846200023768E-1   -2.023782638350280E-1
 3.909090909090909E9     7.630736168948408E-1    2.959983322196316E-1    1.655820759335423E-5    5.414495847558280E-6    1.518621373905922E-5    1.179764055607415E-5    9.752086303849919E-1   -2.067533982212386E-1
 4.030303030303030E9     6.849348230436852E-1   -3.429158493758838E-1    3.794361109006954E-5   -5.340351948807624E-5    2.005197024543026E-5    1.739430610017787E-6    9.866393110949232E-1   -2.090814204964831E-1
 4.151515151515152E9    -6.237664175833186E-3   -6.582511693853915E-1   -4.885183737614340E-5   -6.647862594731020E-6   -5.290422031518600E-5   -4.523299820624976E-5    9.759094916710225E-1   -2.162033575059445E-1
 4.272727272727273E9    -2.362607938007608E-1   -1.914207906037550E-2   -2.078128051675823E-5    6.664415709193833E-5    1.639687687436294E-5    8.457107941969715E-5    9.814214616647610E-1   -2.216007865174741E-1
 4.393939393939394E9    -4.995439497468258E-1   -2.381378648160207E-1    6.616715005709223E-5   -3.634988625564960E-5    3.660311823513430E-5   -5.809244200434430E-5    9.849637815742357E-1   -2.295737323407821E-1
 4.515151515151516E9    -4.913334980356981E-1    4.250183380999918E-1   -6.758629689404941E-5   -4.242310407622852E-5   -5.056496566439374E-5   -3.086421206297841E-5    9.715491297109796E-1   -2.358107424618898E-1
 4.636363636363636E9    -2.165969998954521E-1    5.786584403084827E-1   -7.695008923520630E-5    6.088217566925690E-5   -9.993783442322101E-5    3.117617768096471E-5    9.829515210582863E-1   -2.480072618447896E-1
 4.757575757575758E9     1.640181323334031E-1    7.646490578883739E-1    2.281101749645782E-5    1.095305494062552E-5    1.884466672367216E-5    2.681054434474276E-5    9.617074557446013E-1   -2.495681925332683E-1
 4.878787878787879E9     5.865575479806542E-1    5.881899427453626E-1    3.117174865864990E-5    5.171249558022241E-6    1.562206026913307E-5    4.082599612501648E-6    9.656289602439673E-1   -2.512932540332961E-1
 5.000000000000000E9     8.120760859779526E-1    2.003273756099078E-1    2.050074099360520E-5    2.843315460566395E-7    1.694139769938788E-5    1.451657186694319E-5    9.690947812424477E-1   -2.561036665727496E-1
 5.121212121212122E9     7.710878261906635E-1   -2.681324247184885E-1    2.358208867585483E-5    7.702428384885479E-6    9.557217351449251E-6   -2.896909028254533E-6    9.569113111084719E-1   -2.513973458281951E-1
 5.242424242424242E9     4.080703206568470E-1   -6.526934040385783E-1   -1.772173942379832E-5    1.306307520719328E-5   -5.474561663583394E-6    1.274973661746642E-5    9.715487897112517E-1   -2.681449082867186E-1
 5.363636363636364E9    -2.187974476911819E-1   -6.533057677870757E-1    1.823380790343478E-6   -1.124396599723794E-5    2.467775111721039E-5    7.587920624045322E-6    9.610570461311106E-1   -2.613684824149075E-1
 5.484848484848485E9    -6.072532006871485E-1   -5.845529369340668E-2   -1.154832139660564E-5    1.513472724073277E-5   -3.666862494990083E-5    1.893919391253115E-5    9.684394915248605E-1   -2.732898957508663E-1
 5.606060606060606E9    -2.483787962179426E-1    5.375635493623721E-1    7.180113142203061E-5    1.795069412245606E-5    6.717688183286710E-5    3.590589135193740E-5    9.676081256477884E-1   -2.910619939213796E-1
 5.727272727272728E9     3.151528469083543E-1    4.569374831540193E-1    8.302706697916970E-6   -9.875695677716169E-6   -4.172740681453525E-6   -4.720660475684696E-5    9.596007331835593E-1   -2.808164459164653E-1
 5.848484848484849E9     2.916579179218480E-1    1.433223295519686E-1    4.080868140508318E-5   -9.525873548679416E-5    5.997251561426351E-5   -2.394630363066373E-5    9.615765015918928E-1   -3.053120803891632E-1
 5.969696969696970E9     4.946888522357266E-1    3.068624665700145E-1   -5.968194437089810E-5    1.000066345190102E-4   -5.328956445616198E-5    8.624015597773310E-5    9.608003246701816E-1   -2.955656385654781E-1
 6.090909090909091E9     7.488095655366309E-1   -8.350973331397471E-2    6.069446638914747E-5    9.902280254824143E-6    4.002964397721929E-5   -1.723702304771888E-7    9.616364886689450E-1   -3.036293474067315E-1
